Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare at Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
polo-republica-mens-palestine-polo-shirt,Polo Republica Men's Palestine Polo Shirt,"<div class="""">
<section class=""text-token-text-primary w-full focus:outline-none has-data-writing-block:pointer-events-none [&amp;:has([data-writing-block])&gt;*]:pointer-events-auto R6Vx5W_threadScrollVars scroll-mb-[calc(var(--scroll-root-safe-area-inset-bottom,0px)+var(--thread-response-height))] scroll-mt-[calc(var(--header-height)+min(200px,max(70px,20svh)))]"" dir=""auto"">
<div class=""text-base my-auto mx-auto pb-10 [--thread-content-margin:var(--thread-content-margin-xs,calc(var(--spacing)*4))] @w-sm/main:[--thread-content-margin:var(--thread-content-margin-sm,calc(var(--spacing)*6))] @w-lg/main:[--thread-content-margin:var(--thread-content-margin-lg,calc(var(--spacing)*16))] px-(--thread-content-margin)"">
<div class=""[--thread-content-max-width:40rem] @w-lg/main:[--thread-content-max-width:48rem] mx-auto max-w-(--thread-content-max-width) flex-1 group/turn-messages focus-visible:outline-hidden relative flex w-full min-w-0 flex-col agent-turn"">
<div class=""flex max-w-full flex-col gap-4 grow"">
<div dir=""auto"" class=""min-h-8 text-message relative flex w-full flex-col items-end gap-2 text-start break-words whitespace-normal outline-none keyboard-focused:focus-ring [.text-message+&amp;]:mt-1"" tabindex=""0"">
<div class=""flex w-full flex-col gap-1 empty:hidden"">
<div class=""markdown prose dark:prose-invert wrap-break-word w-full light markdown-new-styling"">Wear your pride with the <strong data-start=""165"" data-end=""201"">Men's Palestine Crest Polo Shirt</strong>, designed to honor heritage with a timeless, everyday style. Crafted from soft, breathable fabric and finished with a classic polo collar, it's perfect for casual outings, gatherings, or everyday wear.</div>
<div class=""markdown prose dark:prose-invert wrap-break-word w-full light markdown-new-styling""></div>
</div>
</div>
</div>
</div>
</div>
</section>
</div>
<p><strong>Features:</strong></p>
<ul>
<li>Two button placket</li>
<li>Ribbed cuffs &amp; collar<br>
</li>
<li>Printed (front &amp; back)</li>
<li>Side vents</li>
<li>Fade-resistant color</li>
<li>Keeps its fit, wash after wash</li>
<li>Hemmed bottom</li>
<li>Gentle on the skin</li>
</ul>
<p><strong>Fabric: </strong>100% Cotton, Pique</p>",Polo Republica,Men's Polo Shirt,"['bundle', 'cash', 'limited edition', 'meta-product-guide-4213']",TRUE,Color,Black,Size,S,,,4213-Palestine-Black-S,232,,0,deny,manual,1499.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0671/0621/files/1_84f955f0-e5aa-42c9-9e91-614732b0922f.jpg?v=1782718060,1,FALSE,,,,,,,,,,,,,,,,,,,
polo-republica-mens-palestine-polo-shirt,Polo Republica Men's Palestine Polo Shirt,"<div class="""">
<section class=""text-token-text-primary w-full focus:outline-none has-data-writing-block:pointer-events-none [&amp;:has([data-writing-block])&gt;*]:pointer-events-auto R6Vx5W_threadScrollVars scroll-mb-[calc(var(--scroll-root-safe-area-inset-bottom,0px)+var(--thread-response-height))] scroll-mt-[calc(var(--header-height)+min(200px,max(70px,20svh)))]"" dir=""auto"">
<div class=""text-base my-auto mx-auto pb-10 [--thread-content-margin:var(--thread-content-margin-xs,calc(var(--spacing)*4))] @w-sm/main:[--thread-content-margin:var(--thread-content-margin-sm,calc(var(--spacing)*6))] @w-lg/main:[--thread-content-margin:var(--thread-content-margin-lg,calc(var(--spacing)*16))] px-(--thread-content-margin)"">
<div class=""[--thread-content-max-width:40rem] @w-lg/main:[--thread-content-max-width:48rem] mx-auto max-w-(--thread-content-max-width) flex-1 group/turn-messages focus-visible:outline-hidden relative flex w-full min-w-0 flex-col agent-turn"">
<div class=""flex max-w-full flex-col gap-4 grow"">
<div dir=""auto"" class=""min-h-8 text-message relative flex w-full flex-col items-end gap-2 text-start break-words whitespace-normal outline-none keyboard-focused:focus-ring [.text-message+&amp;]:mt-1"" tabindex=""0"">
<div class=""flex w-full flex-col gap-1 empty:hidden"">
<div class=""markdown prose dark:prose-invert wrap-break-word w-full light markdown-new-styling"">Wear your pride with the <strong data-start=""165"" data-end=""201"">Men's Palestine Crest Polo Shirt</strong>, designed to honor heritage with a timeless, everyday style. Crafted from soft, breathable fabric and finished with a classic polo collar, it's perfect for casual outings, gatherings, or everyday wear.</div>
<div class=""markdown prose dark:prose-invert wrap-break-word w-full light markdown-new-styling""></div>
</div>
</div>
</div>
</div>
</div>
</section>
</div>
<p><strong>Features:</strong></p>
<ul>
<li>Two button placket</li>
<li>Ribbed cuffs &amp; collar<br>
</li>
<li>Printed (front &amp; back)</li>
<li>Side vents</li>
<li>Fade-resistant color</li>
<li>Keeps its fit, wash after wash</li>
<li>Hemmed bottom</li>
<li>Gentle on the skin</li>
</ul>
<p><strong>Fabric: </strong>100% Cotton, Pique</p>",Polo Republica,Men's Polo Shirt,"['bundle', 'cash', 'limited edition', 'meta-product-guide-4213']",TRUE,Color,Black,Size,M,,,4213-Palestine-Black-M,232,,0,deny,manual,1499.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0671/0621/files/2_088c9027-e2ce-4402-bc3c-ea9e826ffa17.jpg?v=1782718059,2,FALSE,,,,,,,,,,,,,,,,,,,
polo-republica-mens-palestine-polo-shirt,Polo Republica Men's Palestine Polo Shirt,"<div class="""">
<section class=""text-token-text-primary w-full focus:outline-none has-data-writing-block:pointer-events-none [&amp;:has([data-writing-block])&gt;*]:pointer-events-auto R6Vx5W_threadScrollVars scroll-mb-[calc(var(--scroll-root-safe-area-inset-bottom,0px)+var(--thread-response-height))] scroll-mt-[calc(var(--header-height)+min(200px,max(70px,20svh)))]"" dir=""auto"">
<div class=""text-base my-auto mx-auto pb-10 [--thread-content-margin:var(--thread-content-margin-xs,calc(var(--spacing)*4))] @w-sm/main:[--thread-content-margin:var(--thread-content-margin-sm,calc(var(--spacing)*6))] @w-lg/main:[--thread-content-margin:var(--thread-content-margin-lg,calc(var(--spacing)*16))] px-(--thread-content-margin)"">
<div class=""[--thread-content-max-width:40rem] @w-lg/main:[--thread-content-max-width:48rem] mx-auto max-w-(--thread-content-max-width) flex-1 group/turn-messages focus-visible:outline-hidden relative flex w-full min-w-0 flex-col agent-turn"">
<div class=""flex max-w-full flex-col gap-4 grow"">
<div dir=""auto"" class=""min-h-8 text-message relative flex w-full flex-col items-end gap-2 text-start break-words whitespace-normal outline-none keyboard-focused:focus-ring [.text-message+&amp;]:mt-1"" tabindex=""0"">
<div class=""flex w-full flex-col gap-1 empty:hidden"">
<div class=""markdown prose dark:prose-invert wrap-break-word w-full light markdown-new-styling"">Wear your pride with the <strong data-start=""165"" data-end=""201"">Men's Palestine Crest Polo Shirt</strong>, designed to honor heritage with a timeless, everyday style. Crafted from soft, breathable fabric and finished with a classic polo collar, it's perfect for casual outings, gatherings, or everyday wear.</div>
<div class=""markdown prose dark:prose-invert wrap-break-word w-full light markdown-new-styling""></div>
</div>
</div>
</div>
</div>
</div>
</section>
</div>
<p><strong>Features:</strong></p>
<ul>
<li>Two button placket</li>
<li>Ribbed cuffs &amp; collar<br>
</li>
<li>Printed (front &amp; back)</li>
<li>Side vents</li>
<li>Fade-resistant color</li>
<li>Keeps its fit, wash after wash</li>
<li>Hemmed bottom</li>
<li>Gentle on the skin</li>
</ul>
<p><strong>Fabric: </strong>100% Cotton, Pique</p>",Polo Republica,Men's Polo Shirt,"['bundle', 'cash', 'limited edition', 'meta-product-guide-4213']",TRUE,Color,Black,Size,L,,,4213-Palestine-Black-L,232,,0,deny,manual,1499.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0671/0621/files/3_69483fef-d573-4c39-966c-467e06416227.jpg?v=1782718034,3,FALSE,,,,,,,,,,,,,,,,,,,
polo-republica-mens-palestine-polo-shirt,Polo Republica Men's Palestine Polo Shirt,"<div class="""">
<section class=""text-token-text-primary w-full focus:outline-none has-data-writing-block:pointer-events-none [&amp;:has([data-writing-block])&gt;*]:pointer-events-auto R6Vx5W_threadScrollVars scroll-mb-[calc(var(--scroll-root-safe-area-inset-bottom,0px)+var(--thread-response-height))] scroll-mt-[calc(var(--header-height)+min(200px,max(70px,20svh)))]"" dir=""auto"">
<div class=""text-base my-auto mx-auto pb-10 [--thread-content-margin:var(--thread-content-margin-xs,calc(var(--spacing)*4))] @w-sm/main:[--thread-content-margin:var(--thread-content-margin-sm,calc(var(--spacing)*6))] @w-lg/main:[--thread-content-margin:var(--thread-content-margin-lg,calc(var(--spacing)*16))] px-(--thread-content-margin)"">
<div class=""[--thread-content-max-width:40rem] @w-lg/main:[--thread-content-max-width:48rem] mx-auto max-w-(--thread-content-max-width) flex-1 group/turn-messages focus-visible:outline-hidden relative flex w-full min-w-0 flex-col agent-turn"">
<div class=""flex max-w-full flex-col gap-4 grow"">
<div dir=""auto"" class=""min-h-8 text-message relative flex w-full flex-col items-end gap-2 text-start break-words whitespace-normal outline-none keyboard-focused:focus-ring [.text-message+&amp;]:mt-1"" tabindex=""0"">
<div class=""flex w-full flex-col gap-1 empty:hidden"">
<div class=""markdown prose dark:prose-invert wrap-break-word w-full light markdown-new-styling"">Wear your pride with the <strong data-start=""165"" data-end=""201"">Men's Palestine Crest Polo Shirt</strong>, designed to honor heritage with a timeless, everyday style. Crafted from soft, breathable fabric and finished with a classic polo collar, it's perfect for casual outings, gatherings, or everyday wear.</div>
<div class=""markdown prose dark:prose-invert wrap-break-word w-full light markdown-new-styling""></div>
</div>
</div>
</div>
</div>
</div>
</section>
</div>
<p><strong>Features:</strong></p>
<ul>
<li>Two button placket</li>
<li>Ribbed cuffs &amp; collar<br>
</li>
<li>Printed (front &amp; back)</li>
<li>Side vents</li>
<li>Fade-resistant color</li>
<li>Keeps its fit, wash after wash</li>
<li>Hemmed bottom</li>
<li>Gentle on the skin</li>
</ul>
<p><strong>Fabric: </strong>100% Cotton, Pique</p>",Polo Republica,Men's Polo Shirt,"['bundle', 'cash', 'limited edition', 'meta-product-guide-4213']",TRUE,Color,Black,Size,XL,,,4213-Palestine-Black-XL,232,,0,deny,manual,1499.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0671/0621/files/4_e054e098-5334-48c3-b1b1-2fabaa50ccec.jpg?v=1782718052,4,FALSE,,,,,,,,,,,,,,,,,,,
polo-republica-mens-palestine-polo-shirt,Polo Republica Men's Palestine Polo Shirt,"<div class="""">
<section class=""text-token-text-primary w-full focus:outline-none has-data-writing-block:pointer-events-none [&amp;:has([data-writing-block])&gt;*]:pointer-events-auto R6Vx5W_threadScrollVars scroll-mb-[calc(var(--scroll-root-safe-area-inset-bottom,0px)+var(--thread-response-height))] scroll-mt-[calc(var(--header-height)+min(200px,max(70px,20svh)))]"" dir=""auto"">
<div class=""text-base my-auto mx-auto pb-10 [--thread-content-margin:var(--thread-content-margin-xs,calc(var(--spacing)*4))] @w-sm/main:[--thread-content-margin:var(--thread-content-margin-sm,calc(var(--spacing)*6))] @w-lg/main:[--thread-content-margin:var(--thread-content-margin-lg,calc(var(--spacing)*16))] px-(--thread-content-margin)"">
<div class=""[--thread-content-max-width:40rem] @w-lg/main:[--thread-content-max-width:48rem] mx-auto max-w-(--thread-content-max-width) flex-1 group/turn-messages focus-visible:outline-hidden relative flex w-full min-w-0 flex-col agent-turn"">
<div class=""flex max-w-full flex-col gap-4 grow"">
<div dir=""auto"" class=""min-h-8 text-message relative flex w-full flex-col items-end gap-2 text-start break-words whitespace-normal outline-none keyboard-focused:focus-ring [.text-message+&amp;]:mt-1"" tabindex=""0"">
<div class=""flex w-full flex-col gap-1 empty:hidden"">
<div class=""markdown prose dark:prose-invert wrap-break-word w-full light markdown-new-styling"">Wear your pride with the <strong data-start=""165"" data-end=""201"">Men's Palestine Crest Polo Shirt</strong>, designed to honor heritage with a timeless, everyday style. Crafted from soft, breathable fabric and finished with a classic polo collar, it's perfect for casual outings, gatherings, or everyday wear.</div>
<div class=""markdown prose dark:prose-invert wrap-break-word w-full light markdown-new-styling""></div>
</div>
</div>
</div>
</div>
</div>
</section>
</div>
<p><strong>Features:</strong></p>
<ul>
<li>Two button placket</li>
<li>Ribbed cuffs &amp; collar<br>
</li>
<li>Printed (front &amp; back)</li>
<li>Side vents</li>
<li>Fade-resistant color</li>
<li>Keeps its fit, wash after wash</li>
<li>Hemmed bottom</li>
<li>Gentle on the skin</li>
</ul>
<p><strong>Fabric: </strong>100% Cotton, Pique</p>",Polo Republica,Men's Polo Shirt,"['bundle', 'cash', 'limited edition', 'meta-product-guide-4213']",TRUE,Color,Black,Size,2XL,,,4213-Palestine-Black-2XL,232,,0,deny,manual,1499.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0671/0621/files/5_6e9b238e-3c6b-41d5-9391-5c39005bb87d.jpg?v=1782717971,5,FALSE,,,,,,,,,,,,,,,,,,,
huoque-womens-light-padded-bidi-bra,Huoque Women's Light Padded Bra,"<div>
<div>Designed for everyday comfort, this full coverage pull-on bra features soft fabric, lightly padded and a supportive fit. Perfect for daily wear with lasting comfort throughout the day.</div>
<div><br></div>
<div><strong>Features:</strong></div>
<ul>
<li class="""">Lightly padded</li>
<li class="""">Soft &amp; breathable<br>
</li>
<li>Durable &amp; comfortable to wear<br>
</li>
</ul>
</div>
<p><strong>Fabric: </strong>64% Modal, 25% Cotton, 11% Spandex</p>
<p><strong>Note:<em><span> </span></em></strong><em>To</em><strong><em><span> </span></em></strong><em>measure your bust, wrap a measuring tape around the fullest part of your chest, keeping the tape level and snug but not tight.</em></p>",Cash Purchase Kamran Mushtaq,Women's Lingerie,['cash'],TRUE,Color,Off White,Bust Size,S-(32),,,49803-Off White-S,24,,0,deny,manual,549.00,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0671/0621/files/1_7b01b852-6a0b-4ec7-8f94-342e88777f26.jpg?v=1782581194,1,FALSE,,,,,,,,,,,,,,,,,,,
huoque-womens-light-padded-bidi-bra,Huoque Women's Light Padded Bra,"<div>
<div>Designed for everyday comfort, this full coverage pull-on bra features soft fabric, lightly padded and a supportive fit. Perfect for daily wear with lasting comfort throughout the day.</div>
<div><br></div>
<div><strong>Features:</strong></div>
<ul>
<li class="""">Lightly padded</li>
<li class="""">Soft &amp; breathable<br>
</li>
<li>Durable &amp; comfortable to wear<br>
</li>
</ul>
</div>
<p><strong>Fabric: </strong>64% Modal, 25% Cotton, 11% Spandex</p>
<p><strong>Note:<em><span> </span></em></strong><em>To</em><strong><em><span> </span></em></strong><em>measure your bust, wrap a measuring tape around the fullest part of your chest, keeping the tape level and snug but not tight.</em></p>",Cash Purchase Kamran Mushtaq,Women's Lingerie,['cash'],TRUE,Color,Off White,Bust Size,M-(34),,,49803-Off White-M,24,,0,deny,manual,549.00,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0671/0621/files/2_4d6e93d0-254d-4595-8d6c-329a26777b55.jpg?v=1782581192,2,FALSE,,,,,,,,,,,,,,,,,,,
huoque-womens-light-padded-bidi-bra,Huoque Women's Light Padded Bra,"<div>
<div>Designed for everyday comfort, this full coverage pull-on bra features soft fabric, lightly padded and a supportive fit. Perfect for daily wear with lasting comfort throughout the day.</div>
<div><br></div>
<div><strong>Features:</strong></div>
<ul>
<li class="""">Lightly padded</li>
<li class="""">Soft &amp; breathable<br>
</li>
<li>Durable &amp; comfortable to wear<br>
</li>
</ul>
</div>
<p><strong>Fabric: </strong>64% Modal, 25% Cotton, 11% Spandex</p>
<p><strong>Note:<em><span> </span></em></strong><em>To</em><strong><em><span> </span></em></strong><em>measure your bust, wrap a measuring tape around the fullest part of your chest, keeping the tape level and snug but not tight.</em></p>",Cash Purchase Kamran Mushtaq,Women's Lingerie,['cash'],TRUE,Color,Off White,Bust Size,L-(36),,,49803-Off White-L,24,,0,deny,manual,549.00,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0671/0621/files/4_b8e3e28a-dde4-4199-bfd5-f6bf2c4e8b58.jpg?v=1782581195,3,FALSE,,,,,,,,,,,,,,,,,,,
huoque-womens-light-padded-bidi-bra,Huoque Women's Light Padded Bra,"<div>
<div>Designed for everyday comfort, this full coverage pull-on bra features soft fabric, lightly padded and a supportive fit. Perfect for daily wear with lasting comfort throughout the day.</div>
<div><br></div>
<div><strong>Features:</strong></div>
<ul>
<li class="""">Lightly padded</li>
<li class="""">Soft &amp; breathable<br>
</li>
<li>Durable &amp; comfortable to wear<br>
</li>
</ul>
</div>
<p><strong>Fabric: </strong>64% Modal, 25% Cotton, 11% Spandex</p>
<p><strong>Note:<em><span> </span></em></strong><em>To</em><strong><em><span> </span></em></strong><em>measure your bust, wrap a measuring tape around the fullest part of your chest, keeping the tape level and snug but not tight.</em></p>",Cash Purchase Kamran Mushtaq,Women's Lingerie,['cash'],TRUE,Color,Off White,Bust Size,XL-(38),,,49803-Off White-XL,24,,0,deny,manual,549.00,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0671/0621/files/3_195cfc37-5180-4377-8369-d8bc4757ab95.jpg?v=1782581191,4,FALSE,,,,,,,,,,,,,,,,,,,
huoque-womens-light-padded-bidi-bra,Huoque Women's Light Padded Bra,"<div>
<div>Designed for everyday comfort, this full coverage pull-on bra features soft fabric, lightly padded and a supportive fit. Perfect for daily wear with lasting comfort throughout the day.</div>
<div><br></div>
<div><strong>Features:</strong></div>
<ul>
<li class="""">Lightly padded</li>
<li class="""">Soft &amp; breathable<br>
</li>
<li>Durable &amp; comfortable to wear<br>
</li>
</ul>
</div>
<p><strong>Fabric: </strong>64% Modal, 25% Cotton, 11% Spandex</p>
<p><strong>Note:<em><span> </span></em></strong><em>To</em><strong><em><span> </span></em></strong><em>measure your bust, wrap a measuring tape around the fullest part of your chest, keeping the tape level and snug but not tight.</em></p>",Cash Purchase Kamran Mushtaq,Women's Lingerie,['cash'],TRUE,Color,Off White,Bust Size,2XL-(40),,,49803-Off White-2XL,24,,0,deny,manual,549.00,,TRUE,FALSE,,,,FALSE,,,,,,,,,,,,,,,,,,,
